Ingredient,Quantity,Unit,Category,Recipe,Recipe Category,Recipe Difficulty,Calories,Carbohydrates,Proteins,Fats,Vitamins,Minerals,Dietary Preferences,Dietary Restrictions,Health Goals,Rating,Comments,Ingredient Substitutions,Serving Size,Prep Time (mins),Cook Time (mins)
Rice,160,cups,Grains,Tomato Soup,Soup,Medium,462,6,5,45,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,55,33
Tomato,178,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,380,45,28,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,54,80
Spinach,142,slices,Dairy,Rice Pilaf,Snack,Hard,429,49,19,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,1,44,85
Beef,136,grams,Proteins,Beef Stir-Fry,Dinner,Medium,449,31,6,31,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,59,111
Lettuce,129,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,162,42,22,12,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,16,76
Potato,199,cups,Grains,Mashed Potatoes,Side Dish,Medium,135,40,26,33,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,2,28,66
Carrot,98,pieces,Vegetables,Carrot Soup,Soup,Medium,311,19,33,20,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,21,68
Onion,67,slices,Vegetables,Onion Rings,Snack,Medium,318,5,42,17,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,35,109
Chicken,117,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,319,24,42,32,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,51,57
Broccoli,170,ounces,Vegetables,Broccoli Salad,Lunch,Medium,297,39,40,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,6,20
Rice,121,cups,Grains,Tomato Soup,Soup,Medium,183,32,13,11,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,19,23
Tomato,77,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,457,47,19,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,26,29
Spinach,189,slices,Dairy,Rice Pilaf,Snack,Hard,331,5,33,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,2,50,92
Beef,185,grams,Proteins,Beef Stir-Fry,Dinner,Medium,349,13,25,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,22,25
Lettuce,180,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,299,26,35,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,26,40
Potato,86,cups,Grains,Mashed Potatoes,Side Dish,Medium,134,18,40,39,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,39,78
Carrot,194,pieces,Vegetables,Carrot Soup,Soup,Medium,393,11,44,31,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,2,11,68
Onion,101,slices,Vegetables,Onion Rings,Snack,Medium,473,26,42,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,58,16
Chicken,64,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,420,35,24,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,49,76
Broccoli,165,ounces,Vegetables,Broccoli Salad,Lunch,Medium,408,13,28,47,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,3,46,111
Rice,148,cups,Grains,Tomato Soup,Soup,Medium,132,50,13,26,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,47,68
Tomato,93,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,148,16,36,37,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,48,41
Spinach,81,slices,Dairy,Rice Pilaf,Snack,Hard,121,32,44,36,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,49,108
Beef,177,grams,Proteins,Beef Stir-Fry,Dinner,Medium,181,31,50,7,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,1,30,86
Lettuce,101,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,329,24,17,12,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,57,32
Potato,193,cups,Grains,Mashed Potatoes,Side Dish,Medium,406,26,20,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,57,74
Carrot,72,pieces,Vegetables,Carrot Soup,Soup,Medium,482,42,18,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,57,83
Onion,143,slices,Vegetables,Onion Rings,Snack,Medium,173,39,23,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,3,9,19
Chicken,68,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,158,26,36,23,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,41,77
Broccoli,183,ounces,Vegetables,Broccoli Salad,Lunch,Medium,238,20,48,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,30,36
Rice,109,cups,Grains,Tomato Soup,Soup,Medium,210,32,34,12,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,31,108
Tomato,169,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,163,31,15,12,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,1,12,78
Spinach,65,slices,Dairy,Rice Pilaf,Snack,Hard,483,27,37,43,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,53,42
Beef,164,grams,Proteins,Beef Stir-Fry,Dinner,Medium,174,28,13,30,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,4,56,63
Lettuce,92,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,400,10,15,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,42,103
Potato,173,cups,Grains,Mashed Potatoes,Side Dish,Medium,314,39,49,50,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,2,50,119
Carrot,117,pieces,Vegetables,Carrot Soup,Soup,Medium,425,24,31,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,10,113
Onion,130,slices,Vegetables,Onion Rings,Snack,Medium,414,11,22,18,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,4,42,21
Chicken,135,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,151,6,26,17,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,17,19
Broccoli,87,ounces,Vegetables,Broccoli Salad,Lunch,Medium,356,40,30,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,1,13,57
Rice,81,cups,Grains,Tomato Soup,Soup,Medium,225,47,38,40,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,59,60
Tomato,102,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,106,27,46,50,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,3,7,57
Spinach,194,slices,Dairy,Rice Pilaf,Snack,Hard,339,28,12,24,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,11,102
Beef,115,grams,Proteins,Beef Stir-Fry,Dinner,Medium,248,36,41,44,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,2,32,49
Lettuce,53,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,449,19,21,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,2,47,98
Potato,62,cups,Grains,Mashed Potatoes,Side Dish,Medium,147,9,17,46,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,3,42,24
Carrot,133,pieces,Vegetables,Carrot Soup,Soup,Medium,274,30,11,47,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,15,49
Onion,97,slices,Vegetables,Onion Rings,Snack,Medium,436,39,20,33,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,2,51,73
Chicken,177,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,259,11,20,38,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,4,6,65
Broccoli,120,ounces,Vegetables,Broccoli Salad,Lunch,Medium,388,26,44,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,12,86
Rice,101,cups,Grains,Tomato Soup,Soup,Medium,219,40,36,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,50,110
Tomato,149,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,375,45,22,33,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,49,50
Spinach,106,slices,Dairy,Rice Pilaf,Snack,Hard,485,48,12,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,7,112
Beef,119,grams,Proteins,Beef Stir-Fry,Dinner,Medium,459,8,37,45,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,44,44
Lettuce,82,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,212,5,40,26,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,35,85
Potato,131,cups,Grains,Mashed Potatoes,Side Dish,Medium,450,12,24,27,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,2,40,34
Carrot,60,pieces,Vegetables,Carrot Soup,Soup,Medium,181,33,7,8,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,49,42
Onion,95,slices,Vegetables,Onion Rings,Snack,Medium,447,46,30,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,50,75
Chicken,59,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,186,50,29,46,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,1,41,34
Broccoli,98,ounces,Vegetables,Broccoli Salad,Lunch,Medium,161,41,38,9,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,4,6,20
Rice,133,cups,Grains,Tomato Soup,Soup,Medium,430,20,43,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,42,67
Tomato,100,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,493,21,30,10,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,4,13,77
Spinach,53,slices,Dairy,Rice Pilaf,Snack,Hard,153,42,35,37,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,28,113
Beef,164,grams,Proteins,Beef Stir-Fry,Dinner,Medium,479,41,25,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,3,32,92
Lettuce,169,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,183,9,29,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,1,Needs more seasoning,Tofu instead of chicken,3,8,111
Potato,124,cups,Grains,Mashed Potatoes,Side Dish,Medium,337,31,37,23,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,31,65
Carrot,93,pieces,Vegetables,Carrot Soup,Soup,Medium,119,6,49,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,3,19,69
Onion,153,slices,Vegetables,Onion Rings,Snack,Medium,189,9,35,6,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,34,110
Chicken,85,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,495,43,29,50,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,45,119
Broccoli,118,ounces,Vegetables,Broccoli Salad,Lunch,Medium,290,10,15,41,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,42,38
Rice,140,cups,Grains,Tomato Soup,Soup,Medium,365,45,43,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,27,53
Tomato,117,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,480,41,13,14,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,1,26,79
Spinach,177,slices,Dairy,Rice Pilaf,Snack,Hard,404,36,32,9,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,53,93
Beef,68,grams,Proteins,Beef Stir-Fry,Dinner,Medium,255,38,37,8,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,3,6,19
Lettuce,103,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,269,36,34,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,37,24
Potato,128,cups,Grains,Mashed Potatoes,Side Dish,Medium,430,22,25,43,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,4,37,59
Carrot,78,pieces,Vegetables,Carrot Soup,Soup,Medium,235,49,32,5,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,20,59
Onion,177,slices,Vegetables,Onion Rings,Snack,Medium,269,16,19,30,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,4,34,13
Chicken,193,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,474,50,16,35,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,29,97
Broccoli,58,ounces,Vegetables,Broccoli Salad,Lunch,Medium,220,29,49,36,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,48,15
Rice,85,cups,Grains,Tomato Soup,Soup,Medium,180,24,35,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,3,27,44
Tomato,88,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,221,13,40,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,27,30
Spinach,199,slices,Dairy,Rice Pilaf,Snack,Hard,424,45,27,27,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,42,49
Beef,179,grams,Proteins,Beef Stir-Fry,Dinner,Medium,479,41,14,22,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,31,78
Lettuce,129,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,161,5,9,33,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,4,56,11
Potato,85,cups,Grains,Mashed Potatoes,Side Dish,Medium,399,47,12,42,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,1,8,36
Carrot,134,pieces,Vegetables,Carrot Soup,Soup,Medium,126,7,43,16,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,58,115
Onion,102,slices,Vegetables,Onion Rings,Snack,Medium,228,20,22,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,32,45
Chicken,123,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,393,50,26,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,1,24,31
Broccoli,95,ounces,Vegetables,Broccoli Salad,Lunch,Medium,464,16,36,20,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,5,Needs more seasoning,Tofu instead of chicken,1,59,62
Rice,122,cups,Grains,Tomato Soup,Soup,Medium,179,38,43,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,50,113
Tomato,176,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,327,47,42,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,1,27,110
Spinach,144,slices,Dairy,Rice Pilaf,Snack,Hard,310,25,30,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,18,101
Beef,177,grams,Proteins,Beef Stir-Fry,Dinner,Medium,436,8,26,40,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,3,20,59
Lettuce,136,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,238,36,29,50,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,3,11,93
Potato,91,cups,Grains,Mashed Potatoes,Side Dish,Medium,238,41,34,48,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,32,49
Carrot,100,pieces,Vegetables,Carrot Soup,Soup,Medium,158,8,10,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,2,Great recipe!,No substitutions,2,56,104
Onion,198,slices,Vegetables,Onion Rings,Snack,Medium,439,22,26,47,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,4,Easy to make,,2,37,40
Chicken,188,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,341,34,32,32,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,7,63
Broccoli,156,ounces,Vegetables,Broccoli Salad,Lunch,Medium,268,32,36,13,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,4,33,13
Rice,127,cups,Grains,Tomato Soup,Soup,Medium,192,8,31,22,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,4,43,50
Tomato,189,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,363,42,6,44,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,3,40,103
Spinach,128,slices,Dairy,Rice Pilaf,Snack,Hard,104,46,13,28,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,7,24
Beef,101,grams,Proteins,Beef Stir-Fry,Dinner,Medium,433,25,33,25,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,1,60,67
Lettuce,57,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,478,40,22,49,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,53,10
Potato,142,cups,Grains,Mashed Potatoes,Side Dish,Medium,246,26,41,33,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,2,Too salty,,4,34,120
Carrot,142,pieces,Vegetables,Carrot Soup,Soup,Medium,234,40,8,43,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,12,79
Onion,195,slices,Vegetables,Onion Rings,Snack,Medium,389,47,45,16,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,3,23,20
Chicken,188,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,469,29,46,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,22,111
Broccoli,77,ounces,Vegetables,Broccoli Salad,Lunch,Medium,491,5,41,14,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,4,47,74
Rice,93,cups,Grains,Tomato Soup,Soup,Medium,282,47,37,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,54,20
Tomato,151,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,413,7,43,26,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,2,52,19
Spinach,193,slices,Dairy,Rice Pilaf,Snack,Hard,416,44,40,15,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,3,48,22
Beef,146,grams,Proteins,Beef Stir-Fry,Dinner,Medium,403,10,41,27,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,1,Delicious!,Almond milk instead of cow milk,2,16,14
Lettuce,152,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,269,50,17,34,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,17,43
Potato,145,cups,Grains,Mashed Potatoes,Side Dish,Medium,234,43,42,8,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,5,Too salty,,1,8,77
Carrot,142,pieces,Vegetables,Carrot Soup,Soup,Medium,391,36,20,11,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,2,21,63
Onion,105,slices,Vegetables,Onion Rings,Snack,Medium,121,34,29,41,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,2,Easy to make,,4,34,99
Chicken,81,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,289,50,44,34,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,2,6,17
Broccoli,174,ounces,Vegetables,Broccoli Salad,Lunch,Medium,362,17,15,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,3,Needs more seasoning,Tofu instead of chicken,2,31,59
Rice,55,cups,Grains,Tomato Soup,Soup,Medium,423,8,33,16,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,3,Too salty,,3,52,82
Tomato,83,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,395,45,23,45,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,3,57,42
Spinach,128,slices,Dairy,Rice Pilaf,Snack,Hard,103,31,34,40,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,26,24
Beef,54,grams,Proteins,Beef Stir-Fry,Dinner,Medium,281,19,19,23,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,5,Delicious!,Almond milk instead of cow milk,4,58,89
Lettuce,193,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,447,41,28,6,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,34,90
Potato,194,cups,Grains,Mashed Potatoes,Side Dish,Medium,272,25,29,9,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,4,6,103
Carrot,161,pieces,Vegetables,Carrot Soup,Soup,Medium,316,26,10,34,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,4,Great recipe!,No substitutions,1,9,98
Onion,80,slices,Vegetables,Onion Rings,Snack,Medium,337,31,49,19,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,1,Easy to make,,1,13,75
Chicken,95,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,149,46,36,13,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,2,Delicious!,Almond milk instead of cow milk,3,19,64
Broccoli,138,ounces,Vegetables,Broccoli Salad,Lunch,Medium,161,39,20,15,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,2,Needs more seasoning,Tofu instead of chicken,4,14,92
Rice,196,cups,Grains,Tomato Soup,Soup,Medium,188,34,12,31,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,1,47,20
Tomato,132,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,325,6,7,38,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,1,Great recipe!,No substitutions,2,10,92
Spinach,161,slices,Dairy,Rice Pilaf,Snack,Hard,451,31,22,5,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,3,35,73
Beef,104,grams,Proteins,Beef Stir-Fry,Dinner,Medium,393,37,32,29,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,1,23,76
Lettuce,101,ounces,Vegetables,Lettuce Wraps,Lunch,Easy,258,40,42,37,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,1,41,19
Potato,78,cups,Grains,Mashed Potatoes,Side Dish,Medium,253,9,27,28,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,4,Too salty,,1,5,28
Carrot,137,pieces,Vegetables,Carrot Soup,Soup,Medium,196,34,50,24,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,5,Great recipe!,No substitutions,1,38,91
Onion,89,slices,Vegetables,Onion Rings,Snack,Medium,197,46,20,46,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,5,Easy to make,,3,32,85
Chicken,180,grams,Proteins,Chicken Stir-Fry,Dinner,Easy,106,25,28,49,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,3,Delicious!,Almond milk instead of cow milk,2,16,28
Broccoli,121,ounces,Vegetables,Broccoli Salad,Lunch,Medium,307,37,5,8,Vitamin C,Calcium,Spicy Food,Dairy-Free,Muscle Gain,4,Needs more seasoning,Tofu instead of chicken,3,7,55
Rice,92,cups,Grains,Tomato Soup,Soup,Medium,274,12,36,20,Vitamin D,Potassium,Low-Carb,Low-Sodium,Maintenance,1,Too salty,,2,50,98
Tomato,102,pieces,Fruits,Spinach Smoothie,Breakfast,Easy,209,44,26,23,Vitamin E,Magnesium,Vegetarian,Vegan,Heart Health,3,Great recipe!,No substitutions,4,14,54
Spinach,180,slices,Dairy,Rice Pilaf,Snack,Hard,233,12,40,31,Vitamin K,Zinc,Gluten-Free,Keto,Energy Boost,3,Easy to make,,4,13,109
Beef,180,grams,Proteins,Beef Stir-Fry,Dinner,Medium,384,17,24,36,Vitamin A,Iron,Italian Cuisine,Allergy: Nuts,Weight Loss,4,Delicious!,Almond milk instead of cow milk,2,27,11
